playerName,top,left,date,qtr,timeRemaining,result,shotType,distanceFt,lead,teamScore,opponentTeamScore,opponent,team,season,playerId
DeMar DeRozan,49,194,"Oct 20,2021",1st Qtr,8:49,false,2-pointer,5,false,4,4,DET,CHI at DET,2022,derozde01
DeMar DeRozan,144,226,"Oct 20,2021",1st Qtr,6:10,true,2-pointer,9,false,8,8,DET,CHI at DET,2022,derozde01
DeMar DeRozan,132,340,"Oct 20,2021",1st Qtr,2:21,true,2-pointer,13,false,14,16,DET,CHI at DET,2022,derozde01
DeMar DeRozan,65,172,"Oct 20,2021",1st Qtr,1:18,false,2-pointer,7,false,14,18,DET,CHI at DET,2022,derozde01
DeMar DeRozan,63,217,"Oct 20,2021",1st Qtr,0:28,false,2-pointer,3,false,14,20,DET,CHI at DET,2022,derozde01
DeMar DeRozan,50,207,"Oct 20,2021",2nd Qtr,11:18,false,2-pointer,3,false,14,20,DET,CHI at DET,2022,derozde01
DeMar DeRozan,58,261,"Oct 20,2021",2nd Qtr,2:53,false,2-pointer,2,false,31,35,DET,CHI at DET,2022,derozde01
DeMar DeRozan,60,263,"Oct 20,2021",2nd Qtr,2:31,true,2-pointer,2,false,33,35,DET,CHI at DET,2022,derozde01
DeMar DeRozan,113,280,"Oct 20,2021",2nd Qtr,0:36,true,2-pointer,7,false,40,42,DET,CHI at DET,2022,derozde01
DeMar DeRozan,138,175,"Oct 20,2021",2nd Qtr,0:06,false,2-pointer,11,false,40,44,DET,CHI at DET,2022,derozde01
DeMar DeRozan,71,238,"Oct 20,2021",3rd Qtr,10:22,true,2-pointer,2,false,44,47,DET,CHI at DET,2022,derozde01
DeMar DeRozan,61,216,"Oct 20,2021",3rd Qtr,9:00,false,2-pointer,3,false,46,49,DET,CHI at DET,2022,derozde01
DeMar DeRozan,150,312,"Oct 20,2021",4th Qtr,11:30,true,2-pointer,12,true,73,69,DET,CHI at DET,2022,derozde01
DeMar DeRozan,292,163,"Oct 20,2021",4th Qtr,6:50,true,3-pointer,25,false,81,82,DET,CHI at DET,2022,derozde01
DeMar DeRozan,183,328,"Oct 20,2021",4th Qtr,3:54,false,2-pointer,16,true,86,82,DET,CHI at DET,2022,derozde01
DeMar DeRozan,134,302,"Oct 20,2021",4th Qtr,3:01,true,2-pointer,10,true,88,84,DET,CHI at DET,2022,derozde01
DeMar DeRozan,182,364,"Oct 20,2021",4th Qtr,1:08,false,2-pointer,18,true,88,86,DET,CHI at DET,2022,derozde01
DeMar DeRozan,218,122,"Oct 22,2021",1st Qtr,11:02,false,2-pointer,20,false,2,2,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,125,242,"Oct 22,2021",1st Qtr,9:16,true,2-pointer,7,true,4,2,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,249,319,"Oct 22,2021",1st Qtr,8:25,true,2-pointer,21,true,6,2,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,73,466,"Oct 22,2021",1st Qtr,7:21,false,3-pointer,23,true,8,4,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,118,239,"Oct 22,2021",1st Qtr,6:34,false,2-pointer,7,false,8,8,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,111,143,"Oct 22,2021",1st Qtr,6:05,true,2-pointer,11,true,10,8,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,61,240,"Oct 22,2021",1st Qtr,5:32,true,2-pointer,1,true,12,8,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,143,119,"Oct 22,2021",1st Qtr,0:00,false,2-pointer,15,true,28,17,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,56,221,"Oct 22,2021",2nd Qtr,10:09,true,2-pointer,2,true,33,19,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,182,280,"Oct 22,2021",2nd Qtr,7:59,false,2-pointer,14,true,38,23,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,259,242,"Oct 22,2021",2nd Qtr,0:00,false,2-pointer,21,true,65,47,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,54,232,"Oct 22,2021",3rd Qtr,11:28,true,2-pointer,1,true,67,47,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,57,240,"Oct 22,2021",3rd Qtr,9:38,true,2-pointer,0,true,71,53,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,99,367,"Oct 22,2021",3rd Qtr,6:05,false,2-pointer,14,true,79,66,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,84,467,"Oct 22,2021",3rd Qtr,5:42,false,3-pointer,23,true,79,66,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,53,240,"Oct 22,2021",3rd Qtr,5:34,false,2-pointer,0,true,79,66,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,184,236,"Oct 22,2021",3rd Qtr,0:31,false,2-pointer,13,true,92,75,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,93,378,"Oct 22,2021",4th Qtr,10:29,true,2-pointer,14,true,99,75,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,74,371,"Oct 22,2021",4th Qtr,9:58,true,2-pointer,13,true,102,77,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,62,428,"Oct 22,2021",4th Qtr,9:26,false,2-pointer,19,true,102,77,NOP,CHI vs NOP,2022,derozde01
DeMar DeRozan,63,227,"Oct 23,2021",1st Qtr,10:43,false,2-pointer,2,false,0,4,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,56,373,"Oct 23,2021",1st Qtr,10:14,false,2-pointer,13,false,0,7,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,180,304,"Oct 23,2021",1st Qtr,7:51,false,2-pointer,14,false,8,11,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,58,237,"Oct 23,2021",1st Qtr,7:35,true,2-pointer,1,false,10,11,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,190,303,"Oct 23,2021",1st Qtr,1:56,true,2-pointer,15,true,24,23,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,89,116,"Oct 23,2021",1st Qtr,1:27,true,2-pointer,13,true,26,23,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,51,243,"Oct 23,2021",1st Qtr,0:18,true,2-pointer,0,true,31,27,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,309,261,"Oct 23,2021",1st Qtr,0:00,false,3-pointer,26,true,31,28,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,62,100,"Oct 23,2021",2nd Qtr,11:40,false,2-pointer,14,true,31,28,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,63,237,"Oct 23,2021",3rd Qtr,10:17,false,2-pointer,1,true,57,43,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,152,367,"Oct 23,2021",3rd Qtr,7:32,true,2-pointer,16,true,62,47,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,198,151,"Oct 23,2021",3rd Qtr,5:26,false,2-pointer,17,true,65,47,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,57,245,"Oct 23,2021",3rd Qtr,2:01,true,2-pointer,1,true,73,49,DET,CHI vs DET,2022,derozde01
DeMar DeRozan,118,236,"Oct 23,2021",3rd Qtr,1:29,false,2-pointer,7,true,74,52,DET,CHI vs DET,2022,derozde01
